log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
prove_bench_800000_2.log	3.449	3.642	0.235	3.669		0.291	27.362	7.213	0.000	1.258	0.000	0.010	34.806				0.000	0.000
prove_bench_800000_3.log	3.369	3.526	0.251	3.561		0.256	27.578	8.603	0.000	1.604	0.000	0.010	34.829				0.000	0.000
prove_bench_85000_1.log	0.963	0.439	0.115	0.474		0.287	6.454	7.468	0.000	1.603	0.000	0.005	8.207				0.000	0.000
prove_bench_85000_2.log	0.960	0.564	0.130	0.589		0.289	6.289	7.105	0.000	1.309	0.000	0.007	8.168				0.000	0.000
prove_bench_85000_3.log	0.969	0.537	0.129	0.575		0.284	6.185	7.161	0.000	1.169	0.000	0.006	8.044				0.000	0.000
prove_bench_900000_1.log	3.897	4.108	0.237	4.135		0.289	30.929	7.465	0.000	1.247	0.000	0.009	39.297				0.000	0.000
prove_bench_900000_2.log	3.823	3.700	0.229	3.728		0.282	31.681	7.381	0.000	1.162	0.000	0.012	39.543				0.000	0.000
prove_bench_900000_3.log	4.225	3.638	0.219	3.669		0.283	30.450	6.864	0.000	1.143	0.000	0.011	38.660				0.000	0.000
prove_group-proof_0.log	1.228	0.250	0.048	0.280		0.263	6.243	7.923	0.000	1.261	0.000	0.008	8.048				0.000	0.000
prove_group-proof_1.log	1.141	0.243	0.048	0.269		0.281	6.230	7.527	0.000	1.278	0.000	0.007	7.984				0.000	0.000
prove_group-proof_2.log	1.018	0.261	0.055	0.285		0.286	6.362	7.431	0.000	1.246	0.000	0.007	7.980				0.000	0.000
prove_group-proof_3.log	1.151	0.236	0.053	0.266		0.276	6.300	8.328	0.000	1.515	0.000	0.007	8.029				0.000	0.000
prove_knob_default.log	1.296	1.087	0.150	1.106		0.281	9.737	8.025	0.000	1.551	0.000	0.005	12.455				0.000	0.000
prove_knob_minmem.log	1.224	1.142	0.142	1.170		0.291	9.835	7.435	0.000	1.195	0.000	0.006	12.549				0.000	0.000
prove_knob_minmem_x.log								7.183	0.000	1.158								
prove_mem_1000000.log	5.000	3.930	0.217	3.963		0.281	33.314	7.099	0.000	1.168	0.000	0.013	42.587				0.000	0.000
prove_mem_220000.log	1.527	1.062	0.129	1.087		0.291	16.321	9.464	0.000	1.488	0.000	0.008	19.288				0.000	0.000
prove_slot-proof_0.log	1.174	0.186	0.026	0.210		0.279	6.418	7.069	0.000	1.249	0.000	0.008	8.116				0.000	0.000
prove_slot-proof_1.log	1.048	0.280	0.046	0.302		0.280	6.463	6.972	0.000	1.141	0.000	0.006	8.123				0.000	0.000
prove_slot-proof_2.log	1.063	0.302	0.048	0.327		0.277	6.462	6.535	0.000	1.072	0.000	0.009	8.162				0.000	0.000
prove_slot-proof_3.log	1.117	0.199	0.045	0.239		0.277	6.687	6.814	0.000	1.170	0.000	0.007	8.363				0.000	0.000
prove_stub_aggregation_0.log	0.989	0.015	0.006	0.044		0.275	7.929	7.504	0.000	1.211	0.000	0.007	9.283				0.000	0.000
prove_stub_aggregation_1.log	1.034	0.016	0.006	0.041		0.279	5.885	6.906	0.000	1.163	0.000	0.007	7.272				0.000	0.000
prove_stub_aggregation_2.log	1.068	0.018	0.014	0.067		0.284	5.678	7.349	0.000	1.438	0.000	0.006	7.140				0.000	0.000
prove_stub_aggregation_3.log	1.104	0.014	0.005	0.038		0.276	5.670	6.680	0.000	1.188	0.000	0.007	7.117				0.000	0.000
prove_stub_stream-final_0.log	1.056	0.257	0.048	0.316		0.283	8.956	10.011	0.000	4.007	0.000	0.010	10.653				0.000	0.000
prove_stub_stream-final_1.log	1.076	0.289	0.049	0.313		0.280	6.270	7.100	0.000	1.451	0.000	0.009	7.967				0.000	0.000
prove_stub_stream-final_2.log	1.146	0.282	0.048	0.306		0.305	6.544	6.845	0.000	1.220	0.000	0.007	8.358				0.000	0.000
prove_stub_stream-final_3.log	1.101	0.215	0.046	0.239		0.286	6.648	7.122	0.000	1.307	0.000	0.008	8.306				0.000	0.000
prove_triv_m0n0_1.log	0.738	0.007	0.001	0.031		0.275	3.772	7.064	0.000	1.168	0.000	0.005	4.845				0.000	0.000
