10000	110507	26092269	293601280	319693549
20000	220507	52152269	293601280	345753549
30000	330507	78212269	293601280	371813549
40000	440507	104272269	293601280	397873549
55000	605507	143362269	293601280	436963549
70000	770507	182452389	293601280	476053669
85000	935507	221542389	293601280	515143669
100000	1100507	260632389	293601280	554233669
110000	1210507	286692389	293601280	580293669
125000	1375507	325782389	293601280	619383669
140000	1540507	364872389	293601280	658473669
160000	1760507	416992389	293601280	710593669
180000	1980507	469112389	293601280	762713669
200000	2200507	521232389	293601280	814833669
220000	2420507	573352389	293601280	866953669
250000	2750507	651532389	293601280	945133669
280000	3080507	729712389	293601280	1023313669
310000	3410507	807892389	293601280	1101493669
350000	3850507	912132389	293601280	1205733669
400000	4400507	1042432389	293601280	1336033669
440000	4840507	1146672389	293601280	1440273669
500000	5500507	1303032389	293601280	1596633669
560000	6160507	1459392329	293601280	1752993609
620000	6820507	1615752389	293601280	1909353669
660000	7260507	1719992389	293601280	2013593669
720000	7920507	1876352389	293601280	2169953669
800000	8800507	2084832389	293601280	2378433669
900000	9900507	2345432389	293601280	2639033669
1000000	11000507	2606032389	293601280	2899633669
