10000	1	warm	22.964570	0
10000	2	warm	18.265011	0
10000	3	warm	19.537912	0
20000	1	warm	18.404138	0
20000	2	warm	20.803682	0
20000	3	warm	18.165738	0
30000	1	warm	18.258602	0
30000	2	warm	21.584956	0
30000	3	warm	18.241259	0
40000	1	warm	18.709557	0
40000	2	warm	21.519667	0
40000	3	warm	19.039489	0
55000	1	warm	19.140009	0
55000	2	warm	20.505926	0
55000	3	warm	19.419129	0
70000	1	warm	19.747200	0
70000	2	warm	19.748762	0
70000	3	warm	19.381154	0
85000	1	warm	21.342423	0
85000	2	warm	21.774133	0
85000	3	warm	20.142029	0
100000	1	warm	20.406734	0
100000	2	warm	21.014449	0
100000	3	warm	21.648243	0
110000	1	warm	21.955075	0
110000	2	warm	22.853548	0
110000	3	warm	23.675007	0
125000	1	warm	22.134722	0
125000	2	warm	21.871153	0
125000	3	warm	23.653896	0
140000	1	warm	24.685611	0
140000	2	warm	24.680796	0
140000	3	warm	23.936507	0
160000	1	warm	24.062683	0
160000	2	warm	23.085292	0
160000	3	warm	23.580305	0
180000	1	warm	24.218450	0
180000	2	warm	24.439475	0
180000	3	warm	24.711999	0
200000	1	warm	27.116801	0
200000	2	warm	26.291997	0
200000	3	warm	26.787702	0
220000	1	warm	28.863637	0
220000	2	warm	26.429799	0
220000	3	warm	26.543609	0
250000	1	warm	29.176896	0
250000	2	warm	28.718472	0
250000	3	warm	28.675522	0
280000	1	warm	29.640404	0
280000	2	warm	29.258688	0
280000	3	warm	28.730579	0
310000	1	warm	30.485621	0
310000	2	warm	29.835776	0
310000	3	warm	29.584093	0
350000	1	warm	29.558122	0
350000	2	warm	32.678663	0
350000	3	warm	30.943286	0
400000	1	warm	33.491654	0
400000	2	warm	32.003323	0
400000	3	warm	31.596901	0
440000	1	warm	36.208576	0
440000	2	warm	36.452126	0
440000	3	warm	35.956587	0
500000	1	warm	42.121500	0
500000	2	warm	38.554736	0
500000	3	warm	37.436753	0
560000	1	warm	41.312071	0
560000	2	warm	38.315534	0
560000	3	warm	40.721268	0
620000	1	warm	42.248491	0
620000	2	warm	40.802372	0
620000	3	warm	41.181069	0
660000	1	warm	41.869171	0
660000	2	warm	43.452346	0
660000	3	warm	44.917779	0
720000	1	warm	45.707680	0
720000	2	warm	47.856614	0
720000	3	warm	45.292301	0
800000	1	warm	47.890449	0
800000	2	warm	47.234804	0
800000	3	warm	49.331456	0
900000	1	warm	52.193950	0
900000	2	warm	51.598034	0
900000	3	warm	50.206890	0
1000000	1	warm	54.194501	0
1000000	2	warm	53.312167	0
1000000	3	warm	53.911921	0
