log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
prove_bench_85000_3.log	0.855	0.575	0.087	0.599		0.058	3.583	3.845	0.000	0.764	0.000	0.002	5.112				0.000	0.000
prove_bench_900000_1.log	6.705	5.342	0.265	5.368		0.060	17.615	3.830	0.000	0.737	0.000	0.004	29.764				0.000	0.000
prove_bench_900000_2.log	6.493	5.347	0.266	5.372		0.060	17.280	3.774	0.000	0.757	0.000	0.003	29.221				0.000	0.000
prove_bench_900000_3.log	6.434	5.346	0.265	5.371		0.057	17.332	3.759	0.000	0.741	0.000	0.004	29.211				0.000	0.000
prove_coldstart_1.log	0.428	0.094	0.034	0.120		0.108	2.784	24.149	0.000	2.463	0.000	0.004	3.457		4.199	10.747	0.000	0.000
prove_committee-proof_1.log	0.552	0.007	0.002	0.032		0.058	2.944	3.763	0.000	0.755	0.000	0.003	3.602				0.000	0.000
prove_committee-proof_2.log	0.610	0.008	0.002	0.034		0.067	2.892	3.785	0.000	0.765	0.000	0.005	3.618				0.000	0.000
prove_committee-proof_3.log	0.587	0.008	0.002	0.033		0.059	3.005	3.736	0.000	0.739	0.000	0.004	3.701				0.000	0.000
prove_group-proof_1.log	0.617	0.170	0.056	0.195		0.062	3.290	3.877	0.000	0.769	0.000	0.003	4.180				0.000	0.000
prove_group-proof_2.log	0.610	0.165	0.055	0.192		0.058	3.255	3.720	0.000	0.739	0.000	0.005	4.131				0.000	0.000
prove_group-proof_3.log	0.609	0.166	0.056	0.191		0.058	3.378	3.740	0.000	0.741	0.000	0.004	4.252				0.000	0.000
prove_m0n0_1.log	0.390	0.004	0.000	0.030		0.059	1.916	3.871	0.000	0.767	0.000	0.006	2.411				0.000	0.000
prove_m0n0_2.log	0.406	0.003	0.000	0.028		0.058	1.893	3.853	0.000	0.767	0.000	0.003	2.401				0.000	0.000
prove_m0n0_3.log	0.397	0.004	0.000	0.028		0.058	1.976	3.717	0.000	0.734	0.000	0.003	2.475				0.000	0.000
prove_m0n100000_1.log	0.380	0.018	0.004	0.044		0.059	1.872	3.743	0.000	0.742	0.000	0.005	2.370				0.000	0.000
prove_m0n100000_2.log	0.392	0.018	0.004	0.043		0.066	1.938	3.726	0.000	0.739	0.000	0.004	2.455				0.000	0.000
prove_m0n100000_3.log	0.395	0.018	0.004	0.044		0.059	1.956	3.762	0.000	0.739	0.000	0.005	2.469				0.000	0.000
prove_m0n1000_1.log	0.389	0.004	0.000	0.029		0.059	1.931	3.848	0.000	0.735	0.000	0.005	2.424				0.000	0.000
prove_m0n1000_2.log	0.441	0.004	0.000	0.030		0.058	1.944	3.736	0.000	0.740	0.000	0.005	2.490				0.000	0.000
prove_m0n1000_3.log	0.396	0.004	0.000	0.028		0.067	1.906	3.743	0.000	0.738	0.000	0.004	2.413				0.000	0.000
prove_m0n1_1.log	0.378	0.004	0.000	0.028		0.061	1.896	3.844	0.000	0.757	0.000	0.003	2.379				0.000	0.000
prove_m0n1_2.log	0.422	0.004	0.000	0.028		0.060	1.880	3.847	0.000	0.765	0.000	0.003	2.405				0.000	0.000
prove_m0n1_3.log	0.398	0.004	0.000	0.029		0.059	1.935	3.853	0.000	0.757	0.000	0.004	2.437				0.000	0.000
prove_m1n100_1.log	0.415	0.004	0.000	0.029		0.059	2.170	3.731	0.000	0.737	0.000	0.004	2.689				0.000	0.000
prove_m1n100_2.log	0.451	0.004	0.000	0.029		0.058	2.205	3.836	0.000	0.745	0.000	0.003	2.759				0.000	0.000
prove_m1n100_3.log	0.416	0.004	0.001	0.030		0.058	2.181	3.735	0.000	0.737	0.000	0.004	2.701				0.000	0.000
prove_m1n1_1.log	0.450	0.004	0.000	0.029		0.058	2.182	3.735	0.000	0.724	0.000	0.004	2.735				0.000	0.000
prove_m1n1_2.log	0.416	0.004	0.000	0.030		0.058	2.158	3.744	0.000	0.738	0.000	0.005	2.679				0.000	0.000
prove_m1n1_3.log	0.404	0.004	0.000	0.029		0.062	2.192	3.773	0.000	0.737	0.000	0.004	2.702				0.000	0.000
prove_slot-proof_1.log	0.646	0.219	0.074	0.245		0.059	3.994	3.844	0.000	0.763	0.000	0.005	4.960				0.000	0.000
prove_slot-proof_2.log	0.606	0.216	0.073	0.242		0.060	3.351	3.778	0.000	0.736	0.000	0.004	4.275				0.000	0.000
prove_slot-proof_3.log	0.629	0.219	0.074	0.244		0.058	3.334	3.731	0.000	0.738	0.000	0.004	4.282				0.000	0.000
setup_bench.log								260.010	0.000	0.000				127.077		130.064		
setup_committee-proof.log								1.494	0.000	0.000								
setup_group-proof.log								1.498	0.000	0.000								
setup_slot-proof.log								2.701	0.000	0.000								
wrap_group-proof_1.log					0.048			3.722	0.000	0.735								
wrap_group-proof_2.log					0.047			3.756	0.000	0.763								
wrap_group-proof_3.log					0.047			3.904	0.000	0.781								
wrap_slot-proof_1.log					0.052			3.715	0.000	0.741								
wrap_slot-proof_2.log					0.046			3.727	0.000	0.724								
wrap_slot-proof_3.log					0.046			4.052	0.000	0.801								
wrapsrc_group-proof.log	0.622	0.166	0.055	0.191		0.058	3.250	3.777	0.000	0.736	0.000	0.004	4.137				0.000	0.000
wrapsrc_slot-proof.log	0.615	0.216	0.073	0.240		0.058	3.221	3.734	0.000	0.738	0.000	0.004	4.151				0.000	0.000
