10000	1	warm	10.021791185	0
10000	2	warm	9.904219236	0
10000	3	warm	9.605724259	0
20000	1	warm	10.338800062	0
20000	2	warm	9.668310763	0
20000	3	warm	9.524874598	0
30000	1	warm	9.877231770	0
30000	2	warm	9.525029898	0
30000	3	warm	9.528146597	0
40000	1	warm	9.593150803	0
40000	2	warm	9.624335959	0
40000	3	warm	9.708750941	0
55000	1	warm	9.860085224	0
55000	2	warm	9.888604135	0
55000	3	warm	9.737550999	0
70000	1	warm	10.155725435	0
70000	2	warm	10.096574891	0
70000	3	warm	10.175760521	0
85000	1	warm	10.804459950	0
85000	2	warm	10.575966701	0
85000	3	warm	10.653905610	0
100000	1	warm	10.801725745	0
100000	2	warm	11.011011372	0
100000	3	warm	10.682576266	0
110000	1	warm	10.919351280	0
110000	2	warm	11.148685242	0
110000	3	warm	10.885693342	0
125000	1	warm	11.642963734	0
125000	2	warm	11.458708415	0
125000	3	warm	11.408751013	0
140000	1	warm	11.895792622	0
140000	2	warm	11.822848924	0
140000	3	warm	11.794664399	0
160000	1	warm	12.692230313	0
160000	2	warm	12.466607469	0
160000	3	warm	12.254056848	0
180000	1	warm	13.078779869	0
180000	2	warm	13.182987085	0
180000	3	warm	13.184909270	0
200000	1	warm	13.642983606	0
200000	2	warm	13.624157549	0
200000	3	warm	13.564163848	0
220000	1	warm	14.363780746	0
220000	2	warm	14.188794721	0
220000	3	warm	14.152205097	0
250000	1	warm	15.110384362	0
250000	2	warm	15.132393082	0
250000	3	warm	15.133759289	0
280000	1	warm	15.980075431	0
280000	2	warm	16.104705860	0
280000	3	warm	15.889890730	0
310000	1	warm	16.961317987	0
310000	2	warm	17.359932079	0
310000	3	warm	16.999203451	0
350000	1	warm	17.964866024	0
350000	2	warm	17.806838206	0
350000	3	warm	18.139359805	0
400000	1	warm	19.573061371	0
400000	2	warm	19.346773953	0
400000	3	warm	19.485064132	0
440000	1	warm	21.048819268	0
440000	2	warm	20.919543518	0
440000	3	warm	21.070399332	0
500000	1	warm	23.050960482	0
500000	2	warm	22.569891891	0
500000	3	warm	22.493791777	0
560000	1	warm	24.620016657	0
560000	2	warm	24.423645476	0
560000	3	warm	24.399721851	0
620000	1	warm	26.283737441	0
620000	2	warm	26.597649452	0
620000	3	warm	26.114611868	0
660000	1	warm	27.546354728	0
660000	2	warm	27.368737897	0
660000	3	warm	27.252571656	0
720000	1	warm	29.059082818	0
720000	2	warm	28.953036082	0
720000	3	warm	29.150963826	0
800000	1	warm	31.800902676	0
800000	2	warm	31.683112182	0
800000	3	warm	31.583627904	0
900000	1	warm	35.297119915	0
900000	2	warm	34.700927133	0
900000	3	warm	34.655248944	0
1000000	1	warm	37.822303223	0
1000000	2	warm	37.755179651	0
1000000	3	warm	37.578341914	0
