10000	100501	69635619	287309824	356945443
20000	200501	139195619	287309824	426505443
30000	300501	208755619	287309824	496065443
40000	400501	278315619	287309824	565625443
55000	550501	382655619	287309824	669965443
70000	700501	486995679	287309824	774305503
85000	850501	591335679	287309824	878645503
100000	1000501	695675679	287309824	982985503
110000	1100501	765235679	287309824	1052545503
125000	1250501	869575679	287309824	1156885503
140000	1400501	973915679	287309824	1261225503
160000	1600501	1113035679	287309824	1400345503
180000	1800501	1252155679	287309824	1539465503
200000	2000501	1391275679	287309824	1678585503
220000	2200501	1530395679	287309824	1817705503
250000	2500501	1739075679	287309824	2026385503
280000	2800501	1947755679	287309824	2235065503
310000	3100501	2156435679	287309824	2443745503
350000	3500501	2434675679	287309824	2721985503
400000	4000501	2782475679	287309824	3069785503
440000	4400501	3060715679	287309824	3348025503
500000	5000501	3478075679	287309824	3765385503
560000	5600501	3895435679	287309824	4182745503
620000	6200501	4312795679	287309824	4600105503
660000	6600501	4591035679	287309824	4878345503
720000	7200501	5008395679	287309824	5295705503
800000	8000501	5564875679	287309824	5852185503
900000	9000501	6260475679	287309824	6547785503
1000000	10000501	6956075679	287309824	7243385503
